hp,attack,defense,special-attack,special-defense,speed,type_1,type_2,Pokemon,totalstat,generation,avg_power
45,49,49,65,65,45,Grass,Poison,Bulbasaur,318,1,57
60,62,63,80,80,60,Grass,Poison,Ivysaur,405,1,71
80,82,83,100,100,80,Grass,Poison,Venusaur,525,1,91
39,52,43,60,50,65,Fire,N/A,Charmander,309,1,56
58,64,58,80,65,80,Fire,N/A,Charmeleon,405,1,72
78,84,78,109,85,100,Fire,Flying,Charizard,534,1,96
44,48,65,50,64,43,Water,N/A,Squirtle,314,1,49
59,63,80,65,80,58,Water,N/A,Wartortle,405,1,64
79,83,100,85,105,78,Water,N/A,Blastoise,530,1,84
45,30,35,20,20,45,Bug,N/A,Caterpie,195,1,25
50,20,55,25,25,30,Bug,N/A,Metapod,205,1,22
60,45,50,90,80,70,Bug,Flying,Butterfree,395,1,67
40,35,30,20,20,50,Bug,Poison,Weedle,195,1,27
45,25,50,25,25,35,Bug,Poison,Kakuna,205,1,25
65,90,40,45,80,75,Bug,Poison,Beedrill,395,1,67
40,45,40,35,35,56,Normal,Flying,Pidgey,251,1,40
63,60,55,50,50,71,Normal,Flying,Pidgeotto,349,1,55
83,80,75,70,70,101,Normal,Flying,Pidgeot,479,1,75
30,56,35,25,35,72,Normal,N/A,Rattata,253,1,40
55,81,60,50,70,97,Normal,N/A,Raticate,413,1,65
40,60,30,31,31,70,Normal,Flying,Spearow,262,1,45
65,90,65,61,61,100,Normal,Flying,Fearow,442,1,75
35,60,44,40,54,55,Poison,N/A,Ekans,288,1,50
60,95,69,65,79,80,Poison,N/A,Arbok,448,1,80
35,55,40,50,50,90,Electric,N/A,Pikachu,320,1,52
60,90,55,90,80,110,Electric,N/A,Raichu,485,1,90
50,75,85,20,30,40,Ground,N/A,Sandshrew,300,1,47
75,100,110,45,55,65,Ground,N/A,Sandslash,450,1,72
55,47,52,40,40,41,Poison,N/A,Nidoran-F,275,1,43
70,62,67,55,55,56,Poison,N/A,Nidorina,365,1,58
90,92,87,75,85,76,Poison,Ground,Nidoqueen,505,1,83
46,57,40,40,40,50,Poison,N/A,Nidoran-M,273,1,48
61,72,57,55,55,65,Poison,N/A,Nidorino,365,1,63
81,102,77,85,75,85,Poison,Ground,Nidoking,505,1,93
70,45,48,60,65,35,Fairy,N/A,Clefairy,323,1,52
95,70,73,95,90,60,Fairy,N/A,Clefable,483,1,82
38,41,40,50,65,65,Fire,N/A,Vulpix,299,1,45
73,76,75,81,100,100,Fire,N/A,Ninetales,505,1,78
115,45,20,45,25,20,Normal,Fairy,Jigglypuff,270,1,45
140,70,45,85,50,45,Normal,Fairy,Wigglytuff,435,1,77
40,45,35,30,40,55,Poison,Flying,Zubat,245,1,37
75,80,70,65,75,90,Poison,Flying,Golbat,455,1,72
45,50,55,75,65,30,Grass,Poison,Oddish,320,1,62
60,65,70,85,75,40,Grass,Poison,Gloom,395,1,75
75,80,85,110,90,50,Grass,Poison,Vileplume,490,1,95
35,70,55,45,55,25,Bug,Grass,Paras,285,1,57
