hp,attack,defense,special-attack,special-defense,speed,type_1,type_2,Pokemon,totalstat
100,100,100,100,100,100,psychic,fire,victini,600
45,45,55,45,55,63,grass,,snivy,308
60,60,75,60,75,83,grass,,servine,413
75,75,95,75,95,113,grass,,serperior,528
65,63,45,45,45,45,fire,,tepig,308
90,93,55,70,55,55,fire,fighting,pignite,418
110,123,65,100,65,65,fire,fighting,emboar,528
55,55,45,63,45,45,water,,oshawott,308
75,75,60,83,60,60,water,,dewott,413
95,100,85,108,70,70,water,,samurott,528
45,55,39,35,39,42,normal,,patrat,255
60,85,69,60,69,77,normal,,watchog,420
45,60,45,25,45,55,normal,,lillipup,275
65,80,65,35,65,60,normal,,herdier,370
85,110,90,45,90,80,normal,,stoutland,500
41,50,37,50,37,66,dark,,purrloin,281
64,88,50,88,50,106,dark,,liepard,446
50,53,48,53,48,64,grass,,pansage,316
75,98,63,98,63,101,grass,,simisage,498
50,53,48,53,48,64,fire,,pansear,316
75,98,63,98,63,101,fire,,simisear,498
50,53,48,53,48,64,water,,panpour,316
75,98,63,98,63,101,water,,simipour,498
76,25,45,67,55,24,psychic,,munna,292
116,55,85,107,95,29,psychic,,musharna,487
50,55,50,36,30,43,normal,flying,pidove,264
62,77,62,50,42,65,normal,flying,tranquill,358
80,115,80,65,55,93,normal,flying,unfezant,488
45,60,32,50,32,76,electric,,blitzle,295
75,100,63,80,63,116,electric,,zebstrika,497
55,75,85,25,25,15,rock,,roggenrola,280
70,105,105,50,40,20,rock,,boldore,390
85,135,130,60,80,25,rock,,gigalith,515
65,45,43,55,43,72,psychic,flying,woobat,323
67,57,55,77,55,114,psychic,flying,swoobat,425
60,85,40,30,45,68,ground,,drilbur,328
110,135,60,50,65,88,ground,steel,excadrill,508
103,60,86,60,86,50,normal,,audino,445
75,80,55,25,35,35,fighting,,timburr,305
85,105,85,40,50,40,fighting,,gurdurr,405
105,140,95,55,65,45,fighting,,conkeldurr,505
50,50,40,50,40,64,water,,tympole,294
75,65,55,65,55,69,water,ground,palpitoad,384
105,95,75,85,75,74,water,ground,seismitoad,509
120,100,85,30,85,45,fighting,,throh,465
75,125,75,30,75,85,fighting,,sawk,465
45,53,70,40,60,42,bug,grass,sewaddle,310
55,63,90,50,80,42,bug,grass,swadloon,380
75,103,80,70,80,92,bug,grass,leavanny,500
30,45,59,30,39,57,bug,poison,venipede,260
40,55,99,40,79,47,bug,poison,whirlipede,360
60,100,89,55,69,112,bug,poison,scolipede,485
40,27,60,37,50,66,grass,fairy,cottonee,280
60,67,85,77,75,116,grass,fairy,whimsicott,480
45,35,50,70,50,30,grass,,petilil,280
70,60,75,110,75,90,grass,,lilligant,480
70,92,65,80,55,98,water,,basculin-red-striped,460
50,72,35,35,35,65,ground,dark,sandile,292
60,82,45,45,45,74,ground,dark,krokorok,351
95,117,80,65,70,92,ground,dark,krookodile,519
70,90,45,15,45,50,fire,,darumaka,315
105,140,55,30,55,95,fire,,darmanitan-standard,480
75,86,67,106,67,60,grass,,maractus,461
50,65,85,35,35,55,bug,rock,dwebble,325
70,105,125,65,75,45,bug,rock,crustle,485
50,75,70,35,70,48,dark,fighting,scraggy,348
65,90,115,45,115,58,dark,fighting,scrafty,488
